ID_Programa;ID_Encuestado;Participacion;Estudio realizado
0;1;no;
1;2;En la misma empresa que estoy, ITR;fullstack
1;3;No;
1;4;No;
2;5;acamica;fullstack nodejs + front
2;6;No;
3;7;Mujeres en Tecnologí?a;Product Management
4;8;Alkemy;Aceleración Alkemy
5;9;UTN, UFLO, UB, Coder house;diplomatura en usabilidad y accesibilidad, diplomatura en UX, diplomatura en UX research, UX avanzado
5;10;No;
5;11;Informatorio;
5;12;no;
6;13;Si;Tecnicatura en Sistemas
7;14;Plataforma 5;Full Stack Developer Javascript
7;15;No;
7;16;no;
7;17;no, pero vi que en las universidades les falta una unmdp! (nacional de mardel) :);
8;18;HENRY;Full Stack Developer
9;19;FAMAF;Data science
9;20;No;
9;21;No;
10;22;Alura LATAM;Front End Developer
10;23;no;
11;24;Uxopedia;Product Designer
11;25;No;
12;26;Digital House;Fullstack
12;27;No;
13;28;ComIT;Full Stack Java Web
14;29;Henry;Full stack development
15;30;Alkemy;Java developer
15;31;no;
16;32;Alkemy;Aceleración C#
17;33;Comunidad IT (ComIT);Desarrollo de Aplicaciones Web en .NET
17;34;no;
17;35;No;
17;36;no;
18;37;Digital House;Certified Tech Developer CTD
19;38;No;No
20;39;Alkemy;Backend developer
21;40;Digital house;Desarrollo web fullstack con Javascript
21;41;Potrero Digital;
22;42;No;No
23;43;No;No participé en ningíºn bootcamp
24;44;CoderHouse;Desarrollo Front End
25;45;Digital House;Full Stack
26;46;SoyHenry;Full stack Developer
26;47;no;
27;48;Codo a Codo;Big Data
28;49;Codo a codo;Programación en Front con Reac
29;50;Le Wagon;Fullstack developer
30;51;Udemy y ui.dev;The Web Developer Bootcamp (de Colt Steele) en Udemy. React, Hooks y Redux en ui.dev
30;52;111mil;
31;53;Codo a codo;Full stack con Python
31;54;no;
31;55;No;
32;56;digital house y platzi;devops y desarrollo fullstack
33;57;GlobalLogic;Licenciatura en Sistemas de Información
33;58;No;
34;59;No;No
34;60;no;
35;61;Educacion IT;Big Data con Hadoop y Spark
35;62;No;
36;63;Platzi;Escuela de desarrollo backend
37;64;no;-
38;65;baufest;QA analyst
39;66;Ada ITW;Java Backend
39;67;no;
40;68;Alkemy;Desarrollador web fullstack
41;69;Digital House;Certified Tech Developer
41;70;no;
42;71;Udacity;Frontend
43;72;NUCBA;Full Stack Development
43;73;No;
43;74;NO;
44;75;ADA;Desarrolladora Backend
45;76;Coderhouse;Diseí±o web
45;77;No;
45;78;ADA ITW;
46;79;Alkemy;Python + Data Analytics
47;80;Si, ADA.;Frontend
47;81;No;
48;82;Plataforma 5;Fullstack developer
49;83;Si;Full Stack en Ací¡mica, Introducción al Front End en Plataforma 5, Reactjs, Reactjs avanzado y scrum en educación IT, analytics en la plataforma de google.
49;84;no;
50;85;Coderhouse;Frontend developer con React
51;86;Mindhub (Por el gobierno de la ciudad);Full Stack
52;87;Mindhub;Desarrollo front end
53;88;NO;NO
54;89;ADA ITW;Programacion Backend
55;90;No, hice muchos cursos de Udemy;Varios, pero mayormente Android
56;91;Met, Coderhouse;Product, UX, HTML y CSS, Javascript
57;92;Coderhouse;Desarrollo web front end
57;93;No, me parecen un engaÅ„o la mayorí?a de ellos.;
57;94;NO;
58;95;Polo Tecnologico La Rioja;MERN Stack
59;96;HENRY;Full Satck developer
59;97;no;
59;98;No;
60;99;ITBA;Full Stack Developer
60;100;No;
61;101;Coderhouse;Desarrollo Fullstack
62;102;Open BootCamp;MERN Stack
63;103;Academia Numen / Codo a Codo / Egg Educacion;Full Stack
64;104;Alkemy;Aceleración java
64;105;no;
64;106;Trama (itba);
65;107;Mercado Libre;Desarrollador Golang
66;108;Ada itw;Programación web front end
67;109;Coderhouse;Frontend developer
67;110;No;
68;111;Henry;Full Stack Web Development
69;112;NoCountry;Diseí±o UXUI
69;113;No;
70;114;Digital House;Fullstack developer
71;115;No;No
71;116;mariano sirena;
71;117;no;
71;118;No;
72;119;NTT Data;RPA Engineer
73;120;No;No
73;121;no;
73;122;no;
73;123;No;
74;124;Argentina programa, Informatorio, Codo a codo;Desarrollo en java
74;125;No;
74;126;no;
75;127;mind hub;full stack java
76;128;no;-
77;129;Henry;Fullstack developer
78;130;educacion IT;JAVA
78;131;no;
79;132;Henry;Data Science
80;133;Coursera;Python programmer
81;134;Coderhouse;Desarrollo Fullstack
82;135;no;no
82;136;NO;
82;137;No;
82;138;Codo a codo;
83;139;Codo a Codo;Full Stack con Python
84;140;;Google y youtube, cursos de fullstack
85;141;Snappler;Ruby on Rails Summer Training
86;142;percipio / udemy;CGP PYTHON
87;143;MeT, Coderhouse;Diseí±o UX
87;144;No;
88;145;ITBA;Gobierno y Gestion IT
89;146;Egg;Curso de Java full stack
90;147;;Bootcamp DevOps
91;148;MindHub;Full Stack Developer
91;149;no;
92;150;Egg Educacion, EducacionIT, Udemy, FreeCodeCamp;.NET, Java, Desarrollo Web
92;151;No;
92;152;no;
93;153;Digital House;Full Stack
94;154;0;0
94;155;JAV - Despegar;
95;156;;digital house full Stack
96;157;coderhouse;backend node
96;158;No;
96;159;No;
97;160;Digital House - Coder House - Plataforma 5;Data Analytics - Web Design - Front End
98;161;Nucba;Fullstack MERN
99;162;Ací¡mica;Desarrollo web full stack
99;163;no;
100;164;HENRY;Full stack web developer
101;165;Henry, Argentina Programa;Desarrollador FullStack
102;166;Curso en Digital House - Presencial en 2017;Desarrollo web full stack
103;167;Digital House;Certified Tech Developer
104;168;No;No
105;169;Coderhouse;Full Stack Development
106;170;Comunidad Ir, Avalith;React js
107;171;DataCamp;SQL Server Developer
108;172;Digital House;Certified Tech Developer
108;173;No;
109;174;Rolling Code School;Curso Full Stack (MERN)
110;175;comunidad it;.net
111;176;CoderHouse;Data Science
112;177;no;no
112;178;No;
113;179;Polo TIC de Misiones;Desarrollador Full Stack con Java
113;180;r/Argentina Programa;
114;181;NO;NO
114;182;Argentina Programa, Henry;
115;183;Accenture;Desarrollo web front end
116;184;Si, HR Bootcamp de HumanosReales;HR Bootcamp
117;185;No;No
117;186;no;
117;187;No;
118;188;Quassure, Image Campus;Game Testing, Game Design, Certified Tester Foundation Level de ISTQB
118;189;No;
119;190;No;No
120;191;udemy;postgresql
120;192;no;
121;193;ADA;Frontend
122;194;Digital House;Full stack web development
122;195;USACH;
122;196;No;
122;197;No;
122;198;No;
123;199;ACAMICA;Data Science
124;200;no;no
124;201;No;
125;202;;Cumunidad Dojo / Analista SOC
126;203;EANT;Data Science
127;204;Plataforma 5;Front End bí¡sico
128;205;Interaction Design;UX Design
129;206;Digital house;UX
129;207;No;
129;208;No;
