ID_Guardia;ID_Encuestado;ID_Trabajo;Posee Guardias;Remuneracion;Porcentaje (bruto o neto)
1;1;1;No;0;Porcentaje de mi sueldo bruto
2;2;2;No;0;Porcentaje de mi sueldo bruto
3;3;3;No;0;Bruto
4;4;4;No;0;Porcentaje de mi sueldo bruto
5;5;5;S’?, pasiva;0;Porcentaje de mi sueldo bruto
6;6;6;S’?, activa;0;Neto
7;7;7;No;0;Porcentaje de mi sueldo bruto
8;8;8;S’?, pasiva;0;Porcentaje de mi sueldo bruto
9;9;9;No;0;Porcentaje de mi sueldo bruto
10;10;10;No;0;Porcentaje de mi sueldo bruto
11;11;11;No;0;Porcentaje de mi sueldo bruto
11;12;12;;;
12;13;13;S’?, pasiva;400000;Porcentaje de mi sueldo bruto
12;14;14;;;
12;15;15;;;
12;16;16;;;
12;17;17;;;
13;18;18;S’?, pasiva;0;Neto
14;19;19;S’?, pasiva;0;Neto
14;20;20;;;
15;21;21;S’?, pasiva;0;Neto
15;22;22;;;
15;23;23;;;
15;24;24;;;
15;25;25;;;
15;26;26;;;
15;27;27;;;
15;28;28;;;
15;29;29;;;
15;30;30;;;
15;31;31;;;
15;32;32;;;
15;33;33;;;
15;34;34;;;
15;35;35;;;
15;36;36;;;
15;37;37;;;
16;38;38;No;0;Porcentaje de mi sueldo bruto
16;39;39;;;
17;40;40;No;0;Porcentaje de mi sueldo bruto
17;41;41;;;
17;42;42;;;
17;43;43;;;
17;44;44;;;
17;45;45;;;
18;46;46;No;0;Porcentaje de mi sueldo bruto
18;47;47;;;
18;48;48;;;
18;49;49;;;
18;50;50;;;
18;51;51;;;
18;52;52;;;
19;53;53;No;0;Porcentaje de mi sueldo bruto
20;54;54;S’?, pasiva;0;Porcentaje de mi sueldo bruto
20;55;55;;;
21;56;56;No;0;Porcentaje de mi sueldo bruto
21;57;57;;;
21;58;58;;;
21;59;59;;;
21;60;60;;;
21;61;61;;;
21;62;62;;;
21;63;63;;;
21;64;64;;;
21;65;65;;;
21;66;66;;;
21;67;67;;;
21;68;68;;;
22;69;69;S’?, pasiva;23000;Bruto
23;70;70;S’?, pasiva;1;Porcentaje de mi sueldo bruto
24;71;71;No;0;Porcentaje de mi sueldo bruto
24;72;72;;;
25;73;73;No;0;Porcentaje de mi sueldo bruto
25;74;74;;;
25;75;75;;;
26;76;76;No;0;Porcentaje de mi sueldo bruto
26;77;77;;;
26;78;78;;;
26;79;79;;;
26;80;80;;;
26;81;81;;;
26;82;82;;;
26;83;83;;;
26;84;84;;;
26;85;85;;;
26;86;86;;;
26;87;87;;;
26;88;88;;;
26;89;89;;;
27;90;90;S’?, pasiva;0;Neto
27;91;91;;;
27;92;92;;;
27;93;93;;;
27;94;94;;;
27;95;95;;;
27;96;96;;;
27;97;97;;;
27;98;98;;;
28;99;99;No;0;Porcentaje de mi sueldo bruto
28;100;100;;;
28;101;101;;;
28;102;102;;;
28;103;103;;;
29;104;104;No;0;Neto
29;105;105;;;
29;106;106;;;
30;107;107;S’?, pasiva;0;Porcentaje de mi sueldo bruto
30;108;108;;;
31;109;109;No;0;Porcentaje de mi sueldo bruto
31;110;110;;;
31;111;111;;;
31;112;112;;;
31;113;113;;;
31;114;114;;;
32;115;115;S’?, pasiva;20000;Bruto
32;116;116;;;
32;117;117;;;
32;118;118;;;
33;119;119;No;0;Neto
33;120;120;;;
34;121;121;S’?, activa;0;Neto
34;122;122;;;
34;123;123;;;
34;124;124;;;
34;125;125;;;
34;126;126;;;
35;127;127;No;0;Porcentaje de mi sueldo bruto
35;128;128;;;
36;129;129;S’?, activa;200000;Bruto
36;130;130;;;
37;131;131;No;0;Bruto
37;132;132;;;
38;133;133;No;0;Porcentaje de mi sueldo bruto
38;134;134;;;
38;135;135;;;
38;136;136;;;
38;137;137;;;
38;138;138;;;
38;139;139;;;
38;140;140;;;
38;141;141;;;
38;142;142;;;
38;143;143;;;
38;144;144;;;
38;145;145;;;
39;146;146;No;0;Porcentaje de mi sueldo bruto
39;147;147;;;
40;148;148;S’?, pasiva;0;Porcentaje de mi sueldo bruto
40;149;149;;;
40;150;150;;;
40;151;151;;;
40;152;152;;;
40;153;153;;;
41;154;154;S’?, pasiva;0;Neto
41;155;155;;;
42;156;156;No;0;Porcentaje de mi sueldo bruto
42;157;157;;;
42;158;158;;;
42;159;159;;;
42;160;160;;;
43;161;161;No;0;Porcentaje de mi sueldo bruto
43;162;162;;;
43;163;163;;;
43;164;164;;;
43;165;165;;;
43;166;166;;;
43;167;167;;;
43;168;168;;;
43;169;169;;;
43;170;170;;;
43;171;171;;;
43;172;172;;;
43;173;173;;;
44;174;174;No;0;Porcentaje de mi sueldo bruto
45;175;175;No;0;Porcentaje de mi sueldo bruto
46;176;176;S’?, pasiva;0;Porcentaje de mi sueldo bruto
46;177;177;;;
46;178;178;;;
46;179;179;;;
46;180;180;;;
47;181;181;S’?, pasiva;0;Porcentaje de mi sueldo bruto
48;182;182;S’?, pasiva;0;Porcentaje de mi sueldo bruto
48;183;183;;;
48;184;184;;;
49;185;185;No;0;Porcentaje de mi sueldo bruto
49;186;186;;;
49;187;187;;;
49;188;188;;;
49;189;189;;;
50;190;190;No;0;Neto
50;191;191;;;
50;192;192;;;
50;193;193;;;
50;194;194;;;
51;195;195;S’?, pasiva;120;Porcentaje de mi sueldo bruto
51;196;196;;;
52;197;197;S’?, activa;41000;Bruto
52;198;198;;;
52;199;199;;;
53;200;200;No;0;Porcentaje de mi sueldo bruto
53;201;201;;;
54;202;202;No;0;Porcentaje de mi sueldo bruto
54;203;203;;;
54;204;204;;;
54;205;205;;;
55;206;206;No;0;Bruto
55;207;207;;;
56;208;208;No;0;Neto
56;209;209;;;
56;210;210;;;
56;211;211;;;
56;212;212;;;
56;213;213;;;
56;214;214;;;
56;215;215;;;
56;216;216;;;
57;217;217;S’?, activa;0;Porcentaje de mi sueldo bruto
58;218;218;No;0;Bruto
58;219;219;;;
58;220;220;;;
58;221;221;;;
58;222;222;;;
59;223;223;No;0;Porcentaje de mi sueldo bruto
60;224;224;No;0;Porcentaje de mi sueldo bruto
61;225;225;S’?, pasiva;0;Porcentaje de mi sueldo bruto
62;226;226;S’?, pasiva;0;Porcentaje de mi sueldo bruto
62;227;227;;;
62;228;228;;;
62;229;229;;;
62;230;230;;;
62;231;231;;;
62;232;232;;;
