ID_Herramienta;ID_Encuestado;Plataforma (actual);Software utilizado;Framework -Librerias;Bases de Datos;QA-Testing
1;1;Docker;Go, SQL;-;MySQL;Postman
2;2;Azure;Javascript;React.js;MySQL;Cypress, Jest
3;3;Docker, Linux;.NET, Bash/Shell, TypeScript;.NET Core, Angular, Bootstrap, Node.js;Microsoft SQL Server, MySQL;Visual Studio Coded UI
4;4;Amazon Web Services, Docker, Linux, Serverless;Java, Javascript, Python, SQL;Node.js, Spark;Amazon DynamoDB, Amazon RDS/Aurora, PostgreSQL;Jest
5;5;Docker;CSS, HTML, Javascript;Next.js, Node.js, React.js;Ninguna de las anteriores;Jest
6;6;Firebase, Linux, Windows Server;Ninguno de los anteriores;React.js;Microsoft SQL Server;Ninguna de las anteriores
7;7;Amazon Web Services, Linux, Serverless;Javascript, TypeScript;Node.js;Amazon DynamoDB, MySQL;Jest
8;8;Firebase, Google Cloud Platform, Kubernetes, Serverless;HTML, Javascript, Python, TypeScript;Flask, Next.js, Node.js, React.js;Google Cloud Storage, PostgreSQL;Jest
9;9;Amazon Web Services, Docker, Kubernetes, Linux;Java, SQL;Spring;MongoDB, MySQL, PostgreSQL;Cucumber, Jest, JUnit, Postman
10;10;Linux, VMWare;Bash/Shell, SQL;Ninguno de los anteriores;Oracle, PostgreSQL, Redis;Ninguna de las anteriores
11;11;Amazon Web Services, Docker, Linux, OpenStack;Javascript, Python, puppet, terraform;Ninguno de los anteriores;MariaDB;Postman, Puppeteer
12;12;Azure, Windows Server;Bash/Shell;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
13;13;Amazon Web Services, Docker, Heroku, Kubernetes, Linux, OpenShift, SAP, VMWare, Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;Amazon Redshift, Amazon RDS/Aurora, ElasticSearch, Microsoft SQL Server, MongoDB, MySQL;Ninguna de las anteriores
14;14;Amazon Web Services, Docker;Python;Ninguno de los anteriores;Ninguna de las anteriores, Snowflake;Ninguna de las anteriores
15;15;Azure, Google Cloud Platform;Python, SQL;Spark;Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server;Ninguna de las anteriores
16;16;OpenShift;CSS, HTML, Javascript, TypeScript;Angular, Bootstrap, Node.js, Nest;Microsoft SQL Server;Ninguna de las anteriores
17;17;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
18;18;Docker, Kubernetes, OpenShift;Python;FastAPI;MariaDB, MongoDB, Neo4j, PostgreSQL;Postman, Selenium, Pytest
19;19;Linux, Asterisk;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
20;20;Azure;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
21;21;Docker, Linux;CSS, HTML, Javascript, Python, SQL, TypeScript;Flutter, jQuery, React.js;ElasticSearch, Microsoft SQL Server;Ninguna de las anteriores
22;22;OpenShift;Java;Spring;MongoDB;Ninguna de las anteriores
23;23;Ninguna de las anteriores;CSS, HTML, Javascript, TypeScript;Angular, Bootstrap, jQuery;Ninguna de las anteriores;Postman
24;24;Amazon Web Services, IBM Cloud / Watson, Linux, OpenShift;Bash/Shell, Python, R;Ninguno de los anteriores;Teradata;Ninguna de las anteriores
25;25;Azure, Linux;C#, Python, SQL;TensorFlow, Torch, Numpy, Pandas;Informix, Microsoft SQL Server, Oracle;Ninguna de las anteriores
26;26;Amazon Web Services, Docker;Ninguno de los anteriores;Ninguno de los anteriores;MariaDB;Ninguna de las anteriores
27;27;Azure, Linux, VMWare, Windows Server;Bash/Shell, Powershell;Ninguno de los anteriores;Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Oracle;Ninguna de las anteriores
28;28;Amazon Web Services, Docker, Kubernetes, Linux;Bash/Shell, HTML, Javascript, Python, SQL;Django, Flask, Node.js;Cassandra, MariaDB, MongoDB, MySQL, Neo4j, Redis, SQLite;Postman, Selenium
29;29;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server;Ninguna de las anteriores
30;30;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
31;31;Docker;Java;Spring;Sybase;Ninguna de las anteriores
32;32;Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux;Bash/Shell, Java, Python;Spring;MySQL;Ninguna de las anteriores
33;33;Docker, Linux, VMWare, Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;Microsoft SQL Server;Ninguna de las anteriores
34;34;Linux;Bash/Shell, CSS, HTML, Javascript, TypeScript;Node.js, React.js, Svelte js;PostgreSQL;Ninguna de las anteriores
35;35;jira, confluence, slack, postman, javascript, gantt, powerbi, data studio;HTML, Javascript, PHP, SQL;Node.js, WordPress, prestashop, vtex, janis, magento;MySQL;Postman
36;36;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
37;37;Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux;.NET, HTML, Java, Javascript, Python, SQL;.NET Core, Angular, Bootstrap, Django, Flask, jQuery, Node.js, React.js, Spring;ElasticSearch, Microsoft SQL Server, MongoDB, MySQL, Oracle;JUnit, NUnit, OpenQA, Postman, Selenium, Visual Studio Coded UI
38;38;Azure;CSS, HTML, Javascript, TypeScript;Node.js, React.js, styled-components, Stitches, Radix UI, Chakra UI;Ninguna de las anteriores;Jest, Vitest
39;39;AIX, Amazon Web Services, Azure, Linux, Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Postman
40;40;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Oracle;Ninguna de las anteriores
41;41;Amazon Web Services, Docker, Firebase, Linux;Bash/Shell, Javascript, Python, TypeScript;Angular, Next.js, Node.js, React.js;MongoDB, PostgreSQL;Jest
42;42;Linux, Salesforce;CSS, HTML, Java, Javascript, SOQL;Bootstrap;SOQL;Tests para los controladores de Salesforce (APEX/JAVA)
43;43;Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, OpenShift, Serverless;Java, Python;Flask, Hadoop;Amazon DynamoDB, Amazon RDS/Aurora, Google Cloud Storage, Microsoft SQL Server, PostgreSQL, Redis;Postman
44;44;Google Cloud Platform;HTML;Node.js;MySQL;OpenQA
45;45;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
46;46;Amazon Web Services, Docker, Linux;Python;Django, Flask;PostgreSQL;Ninguna de las anteriores
47;47;Google Cloud Platform;Python, SQL;Hadoop, Spark;Google Cloud Storage, Teradata;Ninguna de las anteriores
48;48;Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, SAP, Serverless;CSS, HTML, Javascript, SQL, TypeScript;Next.js, Node.js, React.js;MySQL;Cypress, Jest
49;49;Amazon Web Services, Docker, Linux, Serverless;Bash/Shell, HTML, Javascript, Python, TypeScript;Next.js, React.js;Amazon DynamoDB, ElasticSearch, PostgreSQL, Rockset;playright, pytest
50;50;Amazon Web Services, Docker, Linux;Bash/Shell, Python, SQL;FastAPI;MySQL, PostgreSQL, SQLite;Ninguna de las anteriores
51;51;Amazon Web Services, Docker, Firebase, Linux;HTML, Javascript, PHP, SQL;Bootstrap, jQuery, Laravel;Amazon RDS/Aurora, MariaDB, MongoDB, MySQL, Redis;Ninguna de las anteriores
52;52;Docker, Linux;CSS, HTML, Javascript, Python;Bootstrap, Django, jQuery;PostgreSQL, SQLite;Ninguna de las anteriores
53;53;Amazon Web Services, Docker, Linux, Serverless;Javascript, TypeScript;Ninguno de los anteriores;Amazon DynamoDB;Mocha
54;54;Ninguna de las anteriores;Swift;Cocoapods;Ninguna de las anteriores;Ninguna de las anteriores
55;55;Ninguna de las anteriores, cisco ;Python;Ninguno de los anteriores;prometheus;Ninguna de las anteriores
56;56;Ninguna de las anteriores, SQL SSIS MicroStrategy;SQL, Oracle;SSIS;Microsoft SQL Server, Oracle;Ninguna de las anteriores
57;57;Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes;Python, R, SQL;Django, Flask, Hadoop, Spark, TensorFlow;Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, Apache Hive, Cassandra, ElasticSearch, Google Cloud Storage, HANA, IBM Db2, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, Oracle, PostgreSQL, Sybase, Teradata;Postman, Selenium
58;58;Docker, Google Cloud Platform;Python, R, SQL;TensorFlow, Torch;Google Cloud Storage, Neo4j, PostgreSQL, Teradata;Ninguna de las anteriores
59;59;Kubernetes;.NET, C#, Java, SQL, VBA;Hibernate, Spring;Microsoft SQL Server, MongoDB, MySQL, Oracle;JUnit, Postman, SoapUI
60;60;Amazon Web Services;SQL;Node.js, Vue.js;Amazon DynamoDB, ElasticSearch;NUnit
61;61;Windows Server;SQL, VBA;Ninguno de los anteriores;Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Oracle;Ninguna de las anteriores
62;62;Amazon Web Services, Linux;Bash/Shell, COBOL, Python, Scala;Spark, Spring;Microsoft SQL Server, Oracle;Ninguna de las anteriores
63;63;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
64;64;SAP;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Postman, Selenium
65;65;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
66;66;Amazon Web Services, Serverless;Javascript;Node.js;Amazon DynamoDB;Jest, Mocha, Postman
67;67;Azure;Javascript;Next.js;Ninguna de las anteriores;Cucumber, Cypress, JUnit, Mocha, Postman, SoapUI
68;68;Firebase, Google Cloud Platform;CSS, HTML, Python, SQL;Ninguno de los anteriores;MySQL, SQLite;Ninguna de las anteriores
69;69;Amazon Web Services, Azure, SAP;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
70;70;Docker, Linux;Java, Javascript, Solidity, SQL, TypeScript;Node.js;ElasticSearch, Microsoft SQL Server, MongoDB;JUnit, Mocha, Postman
71;71;Linux, SAP, Windows Server;Ninguno de los anteriores;SAP;HANA, MySQL;Ninguna de las anteriores
72;72;Ninguna de las anteriores;Python;Ninguno de los anteriores;MongoDB;Jenkins
73;73;Amazon Web Services, Azure, Docker, Linux, OpenShift, SAP, Windows Server;PHP, Python, SQL;jQuery, SAP;Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Oracle, PostgreSQL;Ninguna de las anteriores
74;74;Amazon Web Services, Azure, Firebase, Google Cloud Platform, Kubernetes, Linux, OpenShift, OpenStack, SAP, Serverless, VMWare, Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
75;75;Amazon Web Services, Azure, Google Cloud Platform;.NET, C#, Python, SQL;Ninguno de los anteriores;Amazon DynamoDB, Amazon Redshift, Amazon HBase, Microsoft Azure (Tables, CosmosDB, SQL, etc), MongoDB, MySQL, Teradata, Snowflake;Ninguna de las anteriores
76;76;Azure;.NET, C#, SQL;.NET Core;MySQL, Neo4j;NUnit
77;77;Amazon Web Services, SAP;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores
78;78;Amazon Web Services, Docker, Linux;Python;Bootstrap, Flask;Amazon DynamoDB, Microsoft SQL Server, MySQL;Cucumber, Test Complete
79;79;Firebase;Bash/Shell, Java, Kotlin;Ninguno de los anteriores;SQLite;Ninguna de las anteriores
80;80;*BSD, Docker, Kubernetes, Linux, Serverless, VMWare;Bash/Shell, Go, PHP, Python, SQL;Node.js, SAP, WordPress;ElasticSearch, MariaDB, MongoDB, MySQL, PostgreSQL, Redis;Ninguna de las anteriores
81;81;Ninguna de las anteriores;Python, SQL;Ninguno de los anteriores;Google Cloud Storage, Microsoft SQL Server, MongoDB, MySQL;Ninguna de las anteriores
82;82;Docker, Linux;CSS, HTML, Javascript, PHP, Python, SQL;Bootstrap, jQuery, Laravel;Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB;Ninguna de las anteriores
83;83;Google Cloud Platform, Windows Server;Python, SQL;Node.js;Microsoft SQL Server, MySQL, SQLite, Sybase;SoapUI
84;84;Docker, Kubernetes, Linux;CSS, Javascript;Node.js, React.js;Ninguna de las anteriores;Jest
85;85;Docker;Bash/Shell, Python;Django, Flask;MySQL, ProxySQL;Pytest
86;86;Amazon Web Services, Linux, Mainframe;Bash/Shell, Python, SQL;Hadoop, Spark;Apache Hive, IBM Db2, MongoDB, Oracle, Teradata;Ninguna de las anteriores
87;87;Azure, Docker, Kubernetes, Linux;Java, Javascript;React.js, Spring;Microsoft SQL Server;Ninguna de las anteriores
88;88;Ninguna de las anteriores;CSS, HTML, SQL;WordPress;MySQL;Ninguna de las anteriores
89;89;Azure, Linux;Python;Ninguno de los anteriores;Microsoft SQL Server, MySQL;Ninguna de las anteriores
90;90;Ninguna de las anteriores;C#;Ninguno de los anteriores;Ninguna de las anteriores;Ranorex
91;91;Salesforce;CSS, HTML, Javascript, SQL, Apex;Lwc;Salesforce;Postman
