ID_Estudio;ID_Encuestado;Nivel de estudio;Estado;Carrera;Universidad
0;1;;;;
0;2;;;;
0;3;;;;
1;4;Universitario;En curso;Licenciatura en Informí¡tica;UP - Universidad de Palermo
1;5;;;;
2;6;Terciario;Completo;Analista Programador;UTN - Universidad Tecnológica Nacional
3;7;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UAI - Universidad Abierta Interamericana
4;8;Universitario;Incompleto;Licenciatura en Matemí¡tica;UBA - Universidad de Buenos Aires
5;9;Terciario;En curso;Analista Programador;
5;10;;;;
6;11;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
7;12;Secundario;Completo;;
8;13;Terciario;Incompleto;Analista de Computación;ESBA - Escuela Superior Buenos Aires
8;14;;;;
8;15;;;;
9;16;Universitario;En curso;Tecnicatura en Programación;
9;17;;;;
10;18;Universitario;En curso;Licenciatura en Informí¡tica;UNQ - Universidad Nacional de Quilmes
10;19;;;;
10;20;;;;
11;21;Universitario;En curso;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
11;22;;;;
12;23;Universitario;Incompleto;Ingenieria en Sonido;
12;24;;;;
13;25;Posgrado/Especialización;En curso;Geofisica;UNLP - Universidad Nacional de La Plata
13;26;;;;
14;27;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
14;28;;;;
14;29;;;;
15;30;Universitario;Completo;Licenciatura en Sistemas de Información;UP - Universidad de Palermo
15;31;;;;
16;32;Universitario;Completo;Ingenierí?a en Computación;Escuela Da Vinci
16;33;;;;
17;34;Terciario;Completo;Analista de Sistemas;
18;35;Terciario;Completo;Licenciatura en Marketing;ISSD - Instituto Superior Santo Domingo
19;36;Universitario;Completo;Licenciatura en Recursos Humanos;UM - Universidad de Morón
19;37;;;;
20;38;Universitario;En curso;Analista de Sistemas;Escuela Da Vinci
21;39;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;IUA - Instituto Universitario Aeroní¡utico
21;40;;;;
21;41;;;;
22;42;Universitario;Completo;Tecnicatura Superior en Programación;UNSAM - Universidad de San Martí?n
22;43;;;;
23;44;Universitario;En curso;Licenciatura en Comunicación;UBA - Universidad de Buenos Aires
23;45;;;;
24;46;Terciario;Incompleto;Analista de Sistemas;UTN - Universidad Tecnológica Nacional
24;47;;;;
24;48;;;;
24;49;;;;
25;50;Universitario;Completo;Ingenierí?a Electrónica;UTN - Universidad Tecnológica Nacional
25;51;;;;
26;52;Terciario;En curso;Licenciatura en Ciencias de la Computación;UNC - Universidad Nacional de Córdoba
27;53;Terciario;Incompleto;Analista de Sistemas;
28;54;Universitario;En curso;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
28;55;;;;
28;56;;;;
28;57;;;;
29;58;Maestrí?a;Completo;Sistemas de Información;UBA - Universidad de Buenos Aires
29;59;;;;
30;60;Universitario;Incompleto;Licenciatura en Administración de Empresas;UBA - Universidad de Buenos Aires
30;61;;;;
31;62;Universitario;En curso;Ingenierí?a en Informí¡tica;UADE - Universidad Argentina De la Empresa
31;63;;;;
31;64;;;;
32;65;Universitario;Completo;Diseí±o Grí¡fico;UBA - Universidad de Buenos Aires
32;66;;;;
33;67;Posgrado/Especialización;Completo;Licenciatura en Tecnologí?a Educativa;UTN - Universidad Tecnológica Nacional
34;68;Universitario;En curso;Lic. en Relaciones Internacionales;Universidad Siglo 21
34;69;;;;
35;70;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
35;71;;;;
36;72;Universitario;Completo;Ingenierí?a en Mecatrónica;UNCUYO - Universidad Nacional de Cuyo
36;73;;;;
36;74;;;;
36;75;;;;
37;76;Universitario;En curso;Licenciatura en Informí¡tica;UNGS - Universidad Nacional de General Sarmiento
37;77;;;;
37;78;;;;
37;79;;;;
37;80;;;;
37;81;;;;
37;82;;;;
38;83;Universitario;En curso;Licenciatura en Administración de Empresas;Universidad Siglo 21
39;84;Secundario;Completo;;
40;85;Terciario;Completo;Analista de Sistemas;
40;86;;;;
41;87;Universitario;En curso;Tecnicatura en Informí¡tica;UNGS - Universidad Nacional de General Sarmiento
42;88;Secundario;Completo;Data Science y Product Licenciatura en Marketing;UTN - Universidad Tecnológica Nacional
42;89;;;;
43;90;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
43;91;;;;
43;92;;;;
43;93;;;;
43;94;;;;
43;95;;;;
43;96;;;;
43;97;;;;
43;98;;;;
43;99;;;;
43;100;;;;
44;101;Universitario;Completo;Tecnicatura en Programación;UNLaM - Universidad Nacional de La Matanza
44;102;;;;
45;103;Universitario;Completo;Diseí±o Grí¡fico;UBA - Universidad de Buenos Aires
46;104;Terciario;Completo;Tecnicatura en Sistemas;UTN - Universidad Tecnológica Nacional
46;105;;;;
46;106;;;;
46;107;;;;
46;108;;;;
46;109;;;;
46;110;;;;
46;111;;;;
47;112;Posgrado/Especialización;Incompleto;Diseí±o Grí¡fico;UNLP - Universidad Nacional de La Plata
48;113;Universitario;Completo;Analista de Sistemas;
48;114;;;;
48;115;;;;
48;116;;;;
48;117;;;;
49;118;Secundario;Completo;Bootcamp;
49;119;;;;
49;120;;;;
50;121;Terciario;Incompleto;Tecnicatura en Informí¡tica;ORT
50;122;;;;
51;123;Universitario;Completo;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
51;124;;;;
51;125;;;;
52;126;Universitario;En curso;Ingenierí?a Electrónica;
53;127;Universitario;Completo;Diseí±o de Imí¡gen y Sonido;UBA - Universidad de Buenos Aires
53;128;;;;
54;129;Universitario;Completo;Analista Programador Universitario;
54;130;;;;
54;131;;;;
55;132;Universitario;En curso;Licenciatura en Sistemas de Información;UNNNE - Universidad Nacional del Nordeste
56;133;Terciario;En curso;Analista de Sistemas;Escuela Da Vinci
56;134;;;;
56;135;;;;
56;136;;;;
56;137;;;;
56;138;;;;
56;139;;;;
57;140;Maestrí?a;Completo;Licenciatura en Administración de Empresas;UADE - Universidad Argentina De la Empresa
58;141;Universitario;Completo;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
58;142;;;;
59;143;Terciario;Completo;Tecnicatura en Sistemas;
60;144;Universitario;Completo;Ingenierí?a en Informí¡tica;UADE - Universidad Argentina De la Empresa
61;145;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
61;146;;;;
62;147;Terciario;Completo;Traducción de inglés;
63;148;Universitario;En curso;Licenciatura en Sistemas de Información;
63;149;;;;
63;150;;;;
63;151;;;;
63;152;;;;
63;153;;;;
63;154;;;;
63;155;;;;
64;156;Terciario;En curso;Tecnicatura Superior en Aní¡lisis de Sistemas;
64;157;;;;
65;158;Universitario;En curso;Ingenierí?a en Computación;
66;159;Posgrado/Especialización;En curso;Ingenierí?a en Software;UNLP - Universidad Nacional de La Plata
67;160;Universitario;Completo;Ingenierí?a en Informí¡tica;UADE - Universidad Argentina De la Empresa
67;161;;;;
68;162;Universitario;Incompleto;Licenciatura en Administración de Empresas;UTN - Universidad Tecnológica Nacional
68;163;;;;
68;164;;;;
68;165;;;;
68;166;;;;
68;167;;;;
69;168;Universitario;Completo;Analista de Sistemas;Universidad Siglo 21
69;169;;;;
