ID_Trabajo;ID_Encuestado;Dedicacion;TIpo de contrato;Ultimo salario (bruto);Ultimo salario (Neto);Sueldo Dolarizado;Tipo de cambio;Actualizaciones en 2022;Ajuste acumulado;Ultimo ajuste;Trabajo de;Años de experiencia;Cantidad de compañeros;Modalidad;Seniority
1;1;Full-Time;Staff (planta permanente);475480;396346;FALSE;0;Uno;;Noviembre;Developer;3;Mí¡s de 10000 personas;100% remoto;Semi-Senior
2;2;Full-Time;Staff (planta permanente);260000;220000;FALSE;0;Tres;50;Octubre;Developer;2;Mí¡s de 10000 personas;100% remoto;Junior
3;3;Full-Time;Staff (planta permanente);106350;88560;FALSE;0;Uno;25;Diciembre;Developer;0;De 201 a 500 personas;Hí?brido (presencial y remoto);Junior
4;4;Full-Time;Staff (planta permanente);339000;283700;FALSE;0;Tres;80;Noviembre;Developer;3;De 101 a 200 personas;100% remoto;Semi-Senior
5;5;Full-Time;Staff (planta permanente);380000;320000;TRUE;179;Uno;;Septiembre;Developer;0;Mí¡s de 10000 personas;100% remoto;Junior
6;6;Full-Time;Staff (planta permanente);140000;205000;FALSE;0;Tres;;Diciembre;Product Manager;12;De 2 a 10 personas;100% remoto;Senior
7;7;Full-Time;Staff (planta permanente);1700000;1200000;TRUE;314;No;0;No tuve;Technical Leader;19;De 201 a 500 personas;100% remoto;Senior
8;8;Full-Time;Staff (planta permanente);1170000;610000;TRUE;170;Mí¡s de tres;80;Noviembre;Technical Leader;7;De 501 a 1000 personas;100% remoto;Senior
9;9;Full-Time;Staff (planta permanente);1000000;800000;FALSE;0;Dos;45;Septiembre;Developer;5;De 11  a 50  personas;Hí?brido (presencial y remoto);Semi-Senior
10;10;Full-Time;Staff (planta permanente);650000;450000;FALSE;0;Mí¡s de tres;96;Diciembre;DBA;13;De 5001 a 10000 personas;100% remoto;Senior
11;11;Full-Time;Staff (planta permanente);405000;205000;TRUE;156;Dos;20;Octubre;SysAdmin / DevOps / SRE;7;De 1001 a 2000 personas;Hí?brido (presencial y remoto);Senior
12;12;Full-Time;Staff (planta permanente);414000;302000;FALSE;0;Tres;100;Octubre;Soporte L2/L3;1;Mí¡s de 10000 personas;Hí?brido (presencial y remoto);Junior
13;13;Full-Time;Staff (planta permanente);1007000;633000;TRUE;171;Tres;84;Noviembre;SysAdmin / DevOps / SRE;6;De 1001 a 2000 personas;Hí?brido (presencial y remoto);Senior
