ID_Encuestado;Lugar de trabajo;;Genero;Nacimiento;Fecha encuesta
1;Argentina;Buenos Aires;Hombre Cis;1999;14/11/2022
2;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1997;10/11/2022
3;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2003;9/11/2022
4;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1999;20/10/2022
5;Argentina;Rí?o Negro;Hombre Cis;2000;28/10/2022
6;Argentina;Córdoba;Mujer Cis;1986;9/10/2022
7;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1987;31/10/2022
8;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1996;4/10/2022
9;Argentina;Mendoza;Hombre Cis;1996;13/10/2022
10;Argentina;Córdoba;Hombre Cis;1985;17/10/2022
11;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1998;15/10/2022
12;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1987;9/11/2022
13;Argentina;Buenos Aires;Hombre Cis;1987;26/10/2022
14;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1986;16/10/2022
15;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1999;30/10/2022
16;Argentina;San Luis;Hombre Cis;2002;15/10/2022
17;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1996;8/10/2022
18;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1984;25/10/2022
19;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2001;10/10/2022
20;Argentina;Buenos Aires;Hombre Cis;1995;12/10/2022
21;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1999;22/10/2022
22;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1982;15/10/2022
23;Argentina;Buenos Aires;Hombre Cis;1992;15/11/2022
24;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2000;13/10/2022
25;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1987;2/10/2022
26;Argentina;Buenos Aires;Hombre Cis;1983;30/10/2022
27;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1984;9/10/2022
28;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1989;26/10/2022
29;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1998;23/10/2022
30;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1988;11/11/2022
31;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1990;27/10/2022
32;Argentina;Jujuy;Hombre Cis;1986;23/10/2022
33;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1994;29/10/2022
34;Argentina;Entre Rí?os;;1997;1/11/2022
35;Argentina;Córdoba;Hombre Cis;1991;18/10/2022
36;Argentina;Buenos Aires;Mujer Cis;1996;4/11/2022
37;Argentina;Buenos Aires;Hombre Cis;1986;19/10/2022
38;Argentina;Buenos Aires;Hombre Cis;1996;7/11/2022
39;Argentina;Córdoba;Hombre Cis;1986;11/11/2022
40;Argentina;Buenos Aires;Mujer Cis;1993;7/10/2022
41;Argentina;Buenos Aires;Hombre Cis;1996;6/10/2022
42;Argentina;Buenos Aires;Hombre Cis;1990;5/10/2022
43;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1995;8/11/2022
44;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1986;3/10/2022
45;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1998;22/10/2022
46;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1987;19/10/2022
47;Argentina;Buenos Aires;Mujer Cis;1990;5/10/2022
48;Argentina;Córdoba;Hombre Cis;1992;27/10/2022
49;Argentina;Tierra del Fuego;Hombre Cis;1988;31/10/2022
50;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1990;4/11/2022
51;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1992;12/11/2022
52;Argentina;Córdoba;Hombre Cis;2003;6/11/2022
53;Argentina;Buenos Aires;Hombre Cis;1998;14/11/2022
54;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1996;30/10/2022
55;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1988;8/11/2022
56;Argentina;Ciudad Autónoma de Buenos Aires;;1986;29/10/2022
57;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1992;10/11/2022
58;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1987;8/11/2022
59;Argentina;Santa Fe;Mujer Cis;1990;4/11/2022
60;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1979;19/10/2022
61;Argentina;Santa Fe;Hombre Cis;1995;10/11/2022
62;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1999;14/10/2022
63;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1985;2/11/2022
64;Argentina;Buenos Aires;Mujer Cis;1979;14/11/2022
65;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1990;2/11/2022
66;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1996;10/11/2022
67;Argentina;Córdoba;Mujer Cis;1995;2/10/2022
68;Argentina;Córdoba;Mujer Cis;1996;11/11/2022
69;Argentina;Buenos Aires;Hombre Cis;1983;15/11/2022
70;Argentina;Córdoba;Hombre Cis;2000;15/10/2022
71;Argentina;Buenos Aires;Hombre Cis;1994;12/10/2022
72;Argentina;Córdoba;Hombre Cis;1999;7/10/2022
73;Argentina;Buenos Aires;Hombre Cis;1976;11/11/2022
74;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1979;4/10/2022
75;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2001;6/11/2022
76;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2003;17/10/2022
77;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1980;5/10/2022
78;Argentina;Buenos Aires;Hombre Cis;1987;7/10/2022
79;Argentina;Ciudad Autónoma de Buenos Aires;Prefiero No Decir;1999;3/11/2022
80;Argentina;Buenos Aires;Hombre Cis;1982;14/11/2022
81;Argentina;Mendoza;Prefiero No Decir;1989;23/10/2022
82;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1990;13/11/2022
83;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1993;12/10/2022
84;Argentina;Chaco;Prefiero No Decir;#¡VALOR!;20/10/2022
85;Argentina;Córdoba;Hombre Cis;1996;10/11/2022
86;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1993;3/11/2022
87;Argentina;Buenos Aires;Hombre Cis;1996;11/10/2022
88;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1988;21/10/2022
89;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1998;17/10/2022
90;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1999;31/10/2022
91;Argentina;Buenos Aires;Hombre Cis;2000;27/10/2022
92;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1996;14/10/2022
93;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2000;9/10/2022
94;Argentina;Córdoba;Hombre Cis;1992;10/11/2022
95;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;2002;15/11/2022
96;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1994;15/10/2022
97;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1980;10/11/2022
98;Argentina;Entre Rí?os;Hombre Cis;1983;26/10/2022
99;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1995;15/10/2022
100;Argentina;Buenos Aires;Hombre Cis;1977;10/11/2022
101;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1999;19/10/2022
102;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1998;31/10/2022
103;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1987;7/11/2022
104;Argentina;Buenos Aires;Hombre Cis;1984;10/10/2022
105;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1976;15/11/2022
106;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1993;15/11/2022
107;Argentina;Buenos Aires;Prefiero No Decir;1989;3/11/2022
108;Argentina;Buenos Aires;Hombre Cis;2002;5/11/2022
109;Argentina;Buenos Aires;Hombre Cis;1988;3/10/2022
110;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1986;15/11/2022
111;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1991;8/11/2022
112;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1996;30/10/2022
113;Argentina;Entre Rí?os;Prefiero No Decir;2000;2/10/2022
114;Argentina;Rí?o Negro;Hombre Cis;1996;14/10/2022
115;Argentina;Santa Fe;Hombre Cis;1980;15/10/2022
116;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1998;3/10/2022
117;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1990;9/10/2022
118;Argentina;Ciudad Autónoma de Buenos Aires;Hombre Cis;1980;11/10/2022
119;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1997;15/10/2022
120;Argentina;Ciudad Autónoma de Buenos Aires;Mujer Cis;1990;13/10/2022
121;Argentina;Buenos Aires;Hombre Cis;1976;6/11/2022
122;Argentina;Rí?o Negro;Hombre Cis;1989;23/10/2022
123;Argentina;Buenos Aires;Hombre Cis;1996;16/10/2022
124;Argentina;Ciudad Autónoma de Buenos Aires;Prefiero No Decir;1989;7/11/2022
